Room,Condition,Time,Favorability Ratings,errorbars
Blue Room,Control,Time 1,-6,0.3
Blue Room,Experimental,Time 1,-7,0.3
Red Room,Control,Time 1,-5,0.3
Red Room,Experimental,Time 1,-4,0.9
Blue Room,Control,Time 2,-5,0.4
Blue Room,Experimental,Time 2,-8,0.4
Red Room,Control,Time 2,-6,0.8
Red Room,Experimental,Time 2,-3,0.8
Blue Room,Control,Time 3,-3,0.5
Blue Room,Experimental,Time 3,-7,0.5
Red Room,Control,Time 3,-7,0.4
Red Room,Experimental,Time 3,-1,0.7
Blue Room,Control,Time 4,-3,0.5
Blue Room,Experimental,Time 4,-6,0.6
Red Room,Control,Time 4,-6,0.3
Red Room,Experimental,Time 4,3,0.6
Blue Room,Control,Time 5,1,0.4
Blue Room,Experimental,Time 5,-7,0.5
Red Room,Control,Time 5,-5,0.7
Red Room,Experimental,Time 5,2,0.4
Blue Room,Control,Time 6,3,0.5
Blue Room,Experimental,Time 6,-7,0.4
Red Room,Control,Time 6,-6,0.3
Red Room,Experimental,Time 6,6,0.7
Blue Room,Control,Time 7,7,0.3
Blue Room,Experimental,Time 7,-5,0.4
Red Room,Control,Time 7,-5,0.5
Red Room,Experimental,Time 7,5,0.2
Blue Room,Control,Time 8,7,0.3
Blue Room,Experimental,Time 8,-5,0.4
Red Room,Control,Time 8,-6,0.4
Red Room,Experimental,Time 8,8,0.6
Blue Room,Control,Time 9,9,0.5
Blue Room,Experimental,Time 9,-7,0.4
Red Room,Control,Time 9,-4,0.4
Red Room,Experimental,Time 9,9,0.5
