Room,Condition,Time,Film Type,Happiness,low_95CI,high_95CI,stderror
Blue Room,Control,Time 1,Happy Film,0.43,0.387,0.559,0.086
Blue Room,Control,Time 1,Neutral Film,0.33,0.297,0.429,0.066
Blue Room,Control,Time 1,Sad Film,0.65,0.585,0.845,0.13
Blue Room,Control,Time 2,Happy Film,0.55,0.495,0.715,0.11
Blue Room,Control,Time 2,Neutral Film,0.54,0.486,0.702,0.108
Blue Room,Control,Time 2,Sad Film,0.53,0.477,0.689,0.106
Blue Room,Experimental,Time 1,Happy Film,0.31,0.279,0.403,0.062
Blue Room,Experimental,Time 1,Neutral Film,-0.22,-0.3,1,0.044
Blue Room,Experimental,Time 1,Sad Film,0.43,0.387,0.559,0.086
Blue Room,Experimental,Time 2,Happy Film,0.53,0.477,0.689,0.106
Blue Room,Experimental,Time 2,Neutral Film,-0.55,-1,1,0.11
Blue Room,Experimental,Time 2,Sad Film,-0.77,-0.693,-1.001,0.154
Red Room,Control,Time 1,Happy Film,0.12,0.108,0.156,0.024
Red Room,Control,Time 1,Neutral Film,0.32,0.288,0.416,0.064
Red Room,Control,Time 1,Sad Film,0.3,0.27,0.39,0.06
Red Room,Control,Time 2,Happy Film,0.5,0.45,0.65,0.1
Red Room,Control,Time 2,Neutral Film,-0.32,-1.4,0,0.2664
Red Room,Control,Time 2,Sad Film,0.1,-0.5,0.4,0.02
Red Room,Experimental,Time 1,Happy Film,0.66,0.594,0.858,0.132
Red Room,Experimental,Time 1,Neutral Film,0.17,0.153,0.221,0.034
Red Room,Experimental,Time 1,Sad Film,0.21,0.189,0.273,0.042
Red Room,Experimental,Time 2,Happy Film,0.65,0.585,0.845,0.13
Red Room,Experimental,Time 2,Neutral Film,0.4,0.36,0.52,0.08
Red Room,Experimental,Time 2,Sad Film,0.2,-0.05,0.25,0.04
